ASV_ID	SRR23096793	SRR23096794	SRR23096795	SRR23096796	SRR23096797	SRR23096798	SRR23096799	SRR23096800	SRR23096801	SRR23096802	SRR23096803	SRR23096804	SRR23096805	SRR23096806	SRR23096807	SRR23096808	SRR23096809	SRR23096810	SRR23096811	SRR23096812	SRR23096813	SRR23096814	SRR23096815	SRR23096816	SRR23096817	SRR23096818	SRR23096819	SRR23096820	SRR23096821	SRR23096822	SRR23096823	SRR23096824	SRR23096825	SRR23096826	SRR23096827	SRR23096828	SRR23096829	SRR23096830	SRR23096831	SRR23096832	SRR23096833	SRR23096834	SRR23096835	SRR23096836	SRR23096837	SRR23096838	SRR23096839	SRR23096840	SRR23096841	SRR23096842	SRR23096843	SRR23096844	SRR23096845	SRR23096846	SRR23096847	SRR23096848	SRR23096849	SRR23096850	SRR23096851	SRR23096852	SRR23096853	SRR23096854	SRR23096855	SRR23096856	SRR23096857	SRR23096858	SRR23096859	SRR23096860	SRR23096861	SRR23096862	SRR23096863	SRR23096864	SRR23096865	SRR23096866	SRR23096867	SRR23096868	SRR23096869	SRR23096870	SRR23096871	SRR23096872	SRR23096873	SRR23096874	SRR23096875	SRR23096876	SRR23096877	SRR23096878	SRR23096879	SRR23096880	SRR23096881	SRR23096882	SRR23096883	SRR23096884	SRR23096885	SRR23096886	SRR23096887	SRR23096888	SRR23096889	SRR23096890	SRR23096891
ASV_11	201	160	0	0	0	189	13	222	122	103	176	114	238	0	233	247	128	97	154	0	338	179	29	0	136	0	0	54	74	14	0	0	92	0	171	31	100	118	0	0	21	0	0	122	20	25	47	181	126	0	0	0	134	63	75	0	62	46	42	0	0	0	0	0	0	0	70	55	135	112	0	270	15	0	274	29	0	0	0	368	142	473	0	0	0	241	18	214	53	64	35	0	0	0	0	0	0	89	125
ASV_12	226	194	0	0	0	203	13	228	110	96	202	120	232	0	223	243	151	132	136	0	344	165	31	0	148	0	0	71	82	16	0	0	86	0	179	24	121	128	0	0	16	0	0	129	20	22	43	191	108	0	0	0	146	57	55	0	80	39	52	0	0	0	0	0	0	0	102	32	139	81	0	205	23	0	277	21	0	0	0	308	148	423	0	0	0	185	15	185	88	71	44	0	0	0	0	0	0	85	120
ASV_13	199	175	0	0	0	209	0	214	98	91	180	132	224	0	215	241	157	123	151	0	290	177	27	0	140	0	0	53	69	16	0	0	62	0	199	23	128	105	0	0	14	0	0	121	17	18	45	182	120	0	0	0	166	66	53	0	73	67	49	0	0	0	0	0	0	0	84	38	182	121	0	229	18	15	254	17	0	0	0	338	132	431	0	0	0	221	27	192	67	68	46	0	0	0	0	0	0	90	121
ASV_14	192	149	0	0	0	193	0	243	95	73	181	130	267	0	211	189	155	117	160	0	326	190	31	0	120	0	0	58	54	12	0	0	89	0	209	22	126	114	0	0	24	0	0	112	17	25	45	167	132	0	0	0	172	43	62	0	71	70	55	0	0	0	0	0	0	0	61	31	147	98	0	217	19	12	275	14	0	0	0	369	153	401	0	0	0	228	22	204	74	61	25	0	0	0	0	0	0	112	132
ASV_15	345	221	0	0	0	18	0	83	199	106	341	0	112	170	11	108	238	15	82	186	51	130	0	0	0	0	0	70	18	0	0	0	6	19	94	0	44	39	0	83	0	27	102	50	27	27	0	0	284	0	71	35	149	470	218	185	188	39	98	0	6	39	191	73	0	95	0	0	33	142	99	530	0	0	32	0	0	229	0	0	162	50	210	0	0	0	44	75	9	47	32	0	0	0	0	0	0	96	165
ASV_16	324	220	0	0	0	21	0	58	193	128	332	0	127	207	8	80	250	24	69	188	62	118	0	0	0	0	0	90	20	0	0	0	5	15	94	0	32	43	0	62	0	27	108	66	23	27	0	0	268	0	70	30	129	440	215	142	143	31	85	0	8	31	176	53	0	73	0	0	38	148	111	447	0	0	44	49	92	272	0	0	163	49	247	0	0	0	43	80	5	38	24	0	0	0	0	0	0	91	140
ASV_17	184	172	0	0	0	176	0	223	83	77	158	134	204	0	201	186	124	102	139	0	330	188	27	0	132	0	0	71	62	21	0	0	76	0	207	28	109	115	0	0	16	0	0	147	31	16	56	165	117	0	0	0	132	74	69	0	73	38	47	0	0	0	0	0	0	0	73	39	131	82	0	170	33	9	245	16	0	0	0	321	174	397	0	0	0	223	12	201	53	47	38	0	0	0	0	0	0	84	130
ASV_18	180	133	0	0	0	193	12	187	98	96	186	113	246	0	179	185	133	112	143	0	372	175	25	0	177	0	0	72	54	4	0	0	60	0	221	22	104	84	0	0	21	0	0	142	23	20	48	174	113	0	0	0	145	62	78	0	51	39	50	0	0	0	0	0	0	0	54	39	142	78	0	170	20	0	259	19	0	0	0	312	127	377	0	0	0	195	23	199	70	50	49	0	0	0	0	0	0	88	129
ASV_19	91	96	0	0	0	127	0	197	53	81	139	112	197	0	181	118	86	124	138	0	386	227	31	0	152	0	0	40	51	12	0	0	112	0	197	34	76	92	0	0	18	0	0	116	14	20	54	218	82	0	0	0	125	38	32	0	33	26	31	0	0	0	0	0	0	0	37	34	103	61	0	133	22	13	416	23	0	0	0	508	145	580	0	0	0	251	12	200	59	66	33	0	0	0	0	0	0	47	71
ASV_20	119	109	0	0	0	132	19	165	61	75	154	121	199	0	170	136	84	111	120	0	368	245	28	0	143	0	0	55	46	7	0	0	105	0	202	36	92	91	0	0	9	0	0	132	12	18	47	236	85	0	0	0	110	37	37	0	36	18	29	0	0	0	0	0	0	0	46	27	113	75	0	130	30	0	410	12	0	0	0	466	140	531	0	0	0	230	7	202	58	49	42	0	0	0	0	0	0	54	95
