ASV_ID	SRR6010742	SRR6010743	SRR6010744	SRR6010745	SRR6010746	SRR6010747	SRR6010748	SRR6010749	SRR6010750	SRR6010751	SRR6010752	SRR6010753	SRR6010754	SRR6010755	SRR6010756	SRR6010757	SRR6010758	SRR6010759	SRR6010760	SRR6010761	SRR6010762	SRR6010763	SRR6010764	SRR6010765	SRR6010766	SRR6010767	SRR6010768	SRR6010769	SRR6010770	SRR6010771	SRR6010772	SRR6010773	SRR6010774	SRR6010775	SRR6010776	SRR6010777	SRR6010778	SRR6010779	SRR6010780	SRR6010781	SRR6010782	SRR6010783	SRR6010784	SRR6010785	SRR6010786	SRR6010787	SRR6010788	SRR6010789	SRR6010790	SRR6010791	SRR6010792	SRR6010793	SRR6010794	SRR6010795	SRR6010796	SRR6010797	SRR6010798	SRR6010799	SRR6010800	SRR6010801	SRR6010802	SRR6010803	SRR6010804	SRR6010805	SRR6010806	SRR6010807	SRR6010808	SRR6010809	SRR6010810	SRR6010811	SRR6010812	SRR6010813	SRR6010814	SRR6010815	SRR6010816	SRR6010817	SRR6010818	SRR6010819	SRR6010820	SRR6010821
ASV_11	0	0	0	0	0	0	0	11165	0	0	53	0	15	0	0	31	41	58	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	44	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	21063	0	0	0	0	0	0	0	0	55	53	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	209	305	177	164	214	391	91	1083	64	231	0	681	365	44	173	0	0	2197	307	570	0	15	0	0	0	0	171	0	0	127	5000	0	843	0	0	1719	684	250	0	687	0	851	13	0	1595	0	0	163	909	109	162	0	4613	164	0	1087	636	108	291	743	3215	0	0	0	0	0	82	0	0	0	0	0	0	0
ASV_13	0	0	37	0	0	140	0	385	156	83	138	286	0	950	115	192	0	875	390	53	204	0	0	1649	288	556	0	0	0	0	0	27	0	0	0	160	4645	42	1107	0	0	1730	483	137	0	681	0	963	0	71	1348	0	90	80	805	0	249	0	5510	0	0	1183	624	69	413	720	3359	0	0	0	0	0	0	0	0	117	0	27	0	0
ASV_14	0	0	0	0	0	0	50	10584	88	48	0	44	0	26	19	0	0	0	29	0	0	26	30	0	0	20	0	0	0	0	0	0	0	0	0	0	0	28	0	0	70	0	0	0	15	0	0	0	0	0	39	0	0	0	0	0	17819	0	36	22	43	37	28	0	23	0	0	0	0	32	0	0	20	0	0	31	0	0	0	0
ASV_15	264	289	251	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	1852	0	141	0	1447	0	1431	319	0	44	0	0	0	0	0	0	0	0	0	3141	0	0	153	0	1879	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	184	0	0	440	0	0	44	0	14582	252	287	0
ASV_16	0	44	0	0	0	58	78	148	124	251	127	789	244	1017	202	679	99	912	497	545	801	1193	1260	1013	1045	472	0	0	0	0	0	0	77	0	67	106	209	171	1516	0	141	390	1172	165	473	79	0	405	84	47	2901	0	292	307	948	621	161	0	953	440	667	1136	257	272	860	1124	376	0	0	90	0	0	271	0	0	0	0	0	0	10
ASV_17	0	0	25	0	0	45	0	84	97	281	166	970	234	1110	155	678	0	779	409	365	547	728	793	1276	1095	475	0	0	0	0	0	0	0	0	43	103	239	142	1014	0	107	364	1280	154	498	66	0	305	0	0	3068	0	219	216	1153	555	165	0	804	322	572	1171	204	249	648	1061	332	0	0	81	0	0	234	0	0	0	0	0	0	0
ASV_18	388	201	130	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1726	0	0	13	1223	0	1308	238	0	0	0	0	0	0	0	0	0	0	0	2842	0	0	0	0	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	112	0	0	310	0	0	0	0	10532	217	280	0
ASV_19	0	0	0	0	250	186	434	0	0	4329	0	161	257	533	1436	0	0	0	0	0	0	334	0	0	132	0	0	0	0	0	0	0	629	0	0	0	233	2156	0	1102	3336	231	0	0	286	0	0	226	291	0	0	0	0	0	0	295	0	0	0	272	0	0	0	292	450	1324	0	0	0	0	0	0	0	0	0	3907	0	0	0	0
ASV_20	0	0	0	0	261	161	322	0	463	4789	0	318	298	668	1714	0	0	0	0	0	0	290	0	195	0	0	0	0	0	0	0	0	517	0	0	0	167	2220	0	957	2649	190	0	0	250	0	0	213	251	0	0	0	0	0	0	397	0	0	0	313	0	0	0	315	342	1197	0	0	0	0	0	0	233	0	0	3198	0	0	0	0
ASV_21	0	0	0	0	0	48	0	82	104	231	142	640	158	856	133	537	0	754	392	399	565	848	1048	831	806	344	0	0	0	0	0	0	65	0	0	94	182	119	1085	0	108	281	921	147	368	71	0	317	0	48	2166	0	249	257	999	540	134	0	913	291	508	1107	256	231	639	1025	337	0	0	88	0	0	231	0	0	0	0	0	0	0
ASV_22	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	79	0	0	0	0	53	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	8301	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	59	0	0	12939
ASV_23	0	0	0	123	0	0	0	0	100	263	147	776	157	811	137	526	52	657	315	284	352	535	667	995	882	332	0	62	0	0	0	43	56	0	0	63	193	128	777	64	97	233	977	146	368	55	0	277	0	0	2288	0	216	219	1091	513	146	0	774	222	474	955	182	180	456	932	283	0	0	0	0	0	157	0	0	50	0	0	0	0
ASV_24	0	0	0	0	0	0	432	0	165	0	106	423	314	97	301	143	288	0	0	58	130	0	0	0	121	182	0	0	0	0	0	0	115	0	0	1433	0	0	0	1594	173	0	95	0	0	0	0	0	0	0	0	0	0	0	5886	221	191	0	0	0	162	104	0	187	0	383	181	0	68	30	0	0	29	0	0	6560	0	0	0	0
ASV_25	24	0	0	0	0	101	0	174	106	1443	218	151	126	260	0	1183	0	339	344	217	192	218	117	318	209	202	0	0	0	0	0	0	0	0	0	222	617	0	449	53	352	87	512	580	70	0	0	1140	0	0	105	0	1143	823	0	72	249	0	747	377	314	555	704	339	613	758	1626	0	0	983	0	0	484	0	0	0	35	0	0	0
ASV_26	0	0	0	0	0	0	509	0	168	0	251	614	405	236	388	181	221	0	0	0	175	0	0	172	0	201	0	0	0	0	0	0	128	0	0	1406	0	0	0	1551	118	0	157	0	0	0	0	0	0	0	0	0	0	0	6501	141	355	0	81	0	128	0	0	226	0	270	0	0	0	0	0	0	0	0	0	5159	0	0	0	0
