	input	filtered	denoisedF	nonchim
SRR19937539	76670	61062	59565	28072
SRR19937540	42900	30468	30197	27162
SRR19937541	109937	78812	78039	48882
SRR19937542	73908	59533	58971	52863
SRR19937543	94347	55552	54952	51475
SRR19937544	67971	54072	53427	48100
SRR19937545	101621	65129	64584	57766
SRR19937546	118529	66281	66035	59648
SRR19937547	81925	65382	64551	61721
SRR19937548	78568	63584	62550	57631
SRR19937549	78058	61421	60876	56583
SRR19937550	98215	78793	78049	60711
SRR19937551	100320	78635	77790	56174
SRR19937552	68447	54242	53641	50804
SRR19937553	116150	45336	44208	35591
SRR19937554	78446	62154	61258	39953
SRR19937555	94847	72316	71231	53306
SRR19937556	33101	25425	25151	18522
SRR19937557	108386	82958	81698	63122
SRR19937558	94426	68599	67509	58084
SRR19937559	58797	27456	27343	27067
SRR19937560	107551	82899	82046	58055
SRR19937561	85215	13123	12812	12349
SRR19937562	127854	100989	99727	79882
SRR19937563	79407	61795	60924	52379
SRR19937564	85282	69582	68733	52908
SRR19937565	92712	67031	66506	42697
SRR19937566	107160	66553	66467	61918
SRR19937567	76366	61794	61261	56572
SRR19937568	15645	12436	11892	11623
SRR19937569	74439	55156	54526	38457
SRR19937570	92302	72746	72159	52895
SRR19937571	65026	51913	51376	39673
SRR19937572	97660	78355	77544	60938
SRR19937573	56370	43751	43286	31890
SRR19937574	48507	32184	32025	27695
SRR19937575	97277	72293	71583	47582
SRR19937576	88981	69387	68488	48593
SRR19937577	85597	49595	49362	45557
SRR19937578	85778	66678	66085	41864
SRR19937579	67656	50019	49662	35046
SRR19937580	108477	82330	81304	49129
SRR19937581	77770	61264	60527	57219
SRR19937582	99497	80012	79107	67870
SRR19937583	79189	63021	61940	59032
SRR19937584	76304	46033	45494	40596
SRR19937585	67263	53001	52502	49271
SRR19937586	75711	61546	60921	50856
SRR19937587	86506	68803	67958	60510
SRR19937588	60002	52206	51335	44039
SRR19937589	64459	49667	48632	40011
SRR19937590	90498	72924	72075	64802
SRR19937591	115001	94012	92782	75648
SRR19937592	75381	60324	59754	49980
SRR19937593	81184	66570	65852	60615
SRR19937594	86025	68304	67514	60527
SRR19937595	72064	57733	57049	53685
SRR19937596	66413	33840	33630	27651
SRR19937597	99371	79515	78656	61248
SRR19937598	72497	59036	58373	49225
SRR19937599	139054	117601	117167	55605
SRR19937600	130401	78327	78028	70471
SRR19937601	97782	55727	55262	48364
SRR19937602	106131	86839	85835	59942
SRR19937603	80792	65962	65467	46870
SRR19937604	97466	56755	56425	51185
SRR19937605	83572	69189	68522	50616
SRR19937606	112112	91627	90615	81262
SRR19937607	99219	83553	82336	64831
SRR19937608	78807	60002	59303	44080
