	reads.in	reads.out
SRR19937498.fastq.gz	125862	33565
SRR19937499.fastq.gz	77866	64488
SRR19937500.fastq.gz	22768	6808
SRR19937501.fastq.gz	55124	47396
SRR19937502.fastq.gz	80413	62373
SRR19937503.fastq.gz	10672	8755
SRR19937504.fastq.gz	76485	20779
SRR19937505.fastq.gz	67076	57451
SRR19937506.fastq.gz	87737	45145
SRR19937507.fastq.gz	51898	42401
SRR19937508.fastq.gz	77226	63753
SRR19937509.fastq.gz	71141	58597
SRR19937510.fastq.gz	82730	69096
SRR19937511.fastq.gz	49988	41689
SRR19937512.fastq.gz	115573	35102
SRR19937513.fastq.gz	87294	71388
SRR19937514.fastq.gz	88037	52409
SRR19937515.fastq.gz	83031	64010
SRR19937516.fastq.gz	130036	109163
SRR19937517.fastq.gz	111812	89805
SRR19937518.fastq.gz	72509	59989
SRR19937519.fastq.gz	74243	62054
SRR19937520.fastq.gz	71927	50457
SRR19937521.fastq.gz	70339	59199
SRR19937522.fastq.gz	80907	45719
SRR19937523.fastq.gz	62007	46307
SRR19937524.fastq.gz	77575	63327
SRR19937525.fastq.gz	80342	62789
SRR19937526.fastq.gz	107726	89761
SRR19937527.fastq.gz	105064	88888
SRR19937528.fastq.gz	72616	60652
SRR19937529.fastq.gz	62802	52696
SRR19937530.fastq.gz	38452	22858
SRR19937531.fastq.gz	101838	81393
SRR19937532.fastq.gz	84421	70115
SRR19937533.fastq.gz	86062	68894
SRR19937534.fastq.gz	73460	58793
SRR19937535.fastq.gz	82063	55595
SRR19937536.fastq.gz	73517	61455
SRR19937537.fastq.gz	103572	82622
SRR19937538.fastq.gz	87821	72012
SRR19937539.fastq.gz	76670	61062
SRR19937540.fastq.gz	42900	30468
SRR19937541.fastq.gz	109937	78812
SRR19937542.fastq.gz	73908	59533
SRR19937543.fastq.gz	94347	55552
SRR19937544.fastq.gz	67971	54072
SRR19937545.fastq.gz	101621	65129
SRR19937546.fastq.gz	118529	66281
SRR19937547.fastq.gz	81925	65382
SRR19937548.fastq.gz	78568	63584
SRR19937549.fastq.gz	78058	61421
SRR19937550.fastq.gz	98215	78793
SRR19937551.fastq.gz	100320	78635
SRR19937552.fastq.gz	68447	54242
SRR19937553.fastq.gz	116150	45336
SRR19937554.fastq.gz	78446	62154
SRR19937555.fastq.gz	94847	72316
SRR19937556.fastq.gz	33101	25425
SRR19937557.fastq.gz	108386	82958
SRR19937558.fastq.gz	94426	68599
SRR19937559.fastq.gz	58797	27456
SRR19937560.fastq.gz	107551	82899
SRR19937561.fastq.gz	85215	13123
SRR19937562.fastq.gz	127854	100989
SRR19937563.fastq.gz	79407	61795
SRR19937564.fastq.gz	85282	69582
SRR19937565.fastq.gz	92712	67031
SRR19937566.fastq.gz	107160	66553
SRR19937567.fastq.gz	76366	61794
SRR19937568.fastq.gz	15645	12436
SRR19937569.fastq.gz	74439	55156
SRR19937570.fastq.gz	92302	72746
SRR19937571.fastq.gz	65026	51913
SRR19937572.fastq.gz	97660	78355
SRR19937573.fastq.gz	56370	43751
SRR19937574.fastq.gz	48507	32184
SRR19937575.fastq.gz	97277	72293
SRR19937576.fastq.gz	88981	69387
SRR19937577.fastq.gz	85597	49595
SRR19937578.fastq.gz	85778	66678
SRR19937579.fastq.gz	67656	50019
SRR19937580.fastq.gz	108477	82330
SRR19937581.fastq.gz	77770	61264
SRR19937582.fastq.gz	99497	80012
SRR19937583.fastq.gz	79189	63021
SRR19937584.fastq.gz	76304	46033
SRR19937585.fastq.gz	67263	53001
SRR19937586.fastq.gz	75711	61546
SRR19937587.fastq.gz	86506	68803
SRR19937588.fastq.gz	60002	52206
SRR19937589.fastq.gz	64459	49667
