ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_73	0	0	178	384	0	0	314	103	880	0	373	120	513	99	0	236	627	153	325	1032	77	0	322	213	0	0	199	209	0	0	230	0	105	280	438	133	301	0	99	150	0	42	29	0	0	0	0	76	90	0
ASV_74	70	1604	185	0	162	114	322	0	668	0	0	0	35	823	0	126	0	100	0	0	321	184	0	73	34	0	0	169	902	0	169	455	166	389	0	0	0	37	115	24	23	0	0	405	270	16	0	0	83	53
ASV_75	0	339	840	9	135	0	1507	0	0	0	332	0	88	0	35	29	0	515	0	0	552	0	0	0	182	49	0	0	393	0	214	120	125	30	0	28	757	337	0	487	69	0	0	135	55	229	62	353	0	48
ASV_76	538	66	107	166	0	25	201	446	382	0	117	173	11	0	0	0	105	0	1170	0	0	0	344	0	221	360	658	86	0	0	162	30	60	168	493	601	0	244	46	57	145	39	53	198	78	106	0	136	19	0
ASV_77	78	70	0	0	288	84	83	170	368	86	280	76	64	104	560	42	155	503	134	0	314	183	108	122	108	108	66	93	0	27	95	188	462	300	329	0	46	911	239	97	110	109	74	0	80	53	0	149	92	97
ASV_78	408	0	0	0	721	61	0	0	0	0	0	0	297	86	0	1146	0	0	0	0	243	401	350	183	0	0	0	293	0	0	701	625	373	295	0	0	180	0	0	0	0	0	232	0	140	493	0	19	457	0
ASV_79	44	0	0	93	70	36	25	26	149	38	85	153	231	126	37	126	0	214	140	134	55	51	185	82	150	95	138	0	39	3690	126	0	169	45	34	93	138	36	0	0	0	37	48	100	48	180	213	0	121	61
ASV_80	0	0	1110	0	0	0	0	0	0	0	0	367	226	1189	0	0	0	0	0	0	1113	670	0	0	730	0	0	0	0	0	0	0	1205	0	0	0	0	0	0	0	47	856	0	0	0	0	0	0	64	0
ASV_81	0	0	0	0	210	0	345	139	583	0	0	111	259	93	401	238	0	77	1056	0	198	78	63	69	541	0	0	64	0	502	435	197	326	235	103	0	130	213	0	63	175	118	93	0	61	0	0	54	106	200
ASV_82	0	0	5037	0	729	0	0	0	65	0	88	103	87	40	0	117	0	0	0	85	45	30	0	11	83	125	10	0	73	0	0	0	0	373	0	0	50	103	0	0	0	0	126	0	151	0	0	0	0	0
