#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	SRR15595244	SRR15595245	SRR15595246	SRR15595247	SRR15595248	SRR15595249	SRR15595250	SRR15595251	SRR15595252	SRR15595253	SRR15595254	SRR15595255	SRR15595256	SRR15595257	SRR15595259	SRR15595261	SRR15595263	SRR15595265	SRR15595267	SRR15595269	SRR15595271	SRR15595273	SRR15595275	SRR15595277	SRR15595279	SRR15595281	SRR15595283	SRR15595285	SRR15595287	SRR15595289	SRR15595291	SRR15595293	SRR15595295	SRR15595297	SRR15595299	SRR15595301	SRR15595303	SRR15595305	SRR15595307	SRR15595309	SRR15595311	SRR15595313	SRR15595315	SRR15595317	SRR15595318	SRR15595319	SRR15595320	SRR15595321	SRR15595322	SRR15595323	SRR15595324	SRR15595325	SRR15595326	SRR15595327	SRR15595328	SRR15595329	SRR15595330	SRR15595331	SRR15595332	SRR15595333	SRR15595334	SRR15595335	SRR15595336	SRR15595337	SRR15595338	SRR15595339	SRR15595340	SRR15595341	SRR15595342	SRR15595343	SRR15595344	SRR15595345	SRR15595346	SRR15595347	SRR15595348	SRR15595349	SRR15595350	SRR15595351	SRR15595352	SRR15595353
k__Bacteria|p__Firmicutes|c__CFGB75721	0.15586	0.70113	0.0	0.0	0.03118	0.0	0.0	0.0	0.00711	0.0	0.0	0.0	0.0	0.17596	0.0	0.0	0.0	0.0	0.06739	0.0	0.06588	0.0	0.07257	0.0	0.0	0.0	0.05626	0.0	0.0	0.0	0.0	0.55537	0.04295	0.24686	0.0	0.0	0.0	0.10509	0.0	0.0	0.0	0.01953	0.01132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02427	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.12967	1.24263	0.76202	0.0	2.75386	1.03797	0.72565	0.0	0.5184	0.4923	0.26738	0.5023	0.0	0.70302	1.71901	0.39228	0.0	0.17178	0.05877	0.82659	0.18133	0.92348	0.03084	0.21692	3.28773	0.65629	3.57785	4.71426	0.0	3.47348	0.0	1.84562	0.58556	0.04549	0.0	0.61887	0.72532	3.25042	0.83001	0.0027	8.28562	0.63606	0.08045	0.0	0.0	0.05636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51303	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3057	0.12541	1.19411	0.00126	0.0	0.02839	0.02439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07387	0.0	0.01541	0.0	0.0	0.0	0.0	0.00758	0.0	0.01001	0.0	0.00625	0.0	0.00845	0.02326	0.0	0.0	0.0	0.00876	0.0	0.02029	0.0	0.01588	0.00084	0.01306	0.0	0.0	0.0	0.20166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01527	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3069	0.09415	0.0	0.17383	0.0	0.0	0.58556	0.0	0.0	0.03568	0.0	0.0	0.0	0.0	0.09781	0.0	0.0	0.0	0.0	0.03385	0.0	0.09635	0.1533	0.0	0.0	0.20323	0.0	0.02358	1.47559	0.0	0.08304	0.0	0.0	0.0	0.00768	0.0	0.2486	0.25778	0.0233	0.0	0.0	0.0	1.05033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5563	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB2404	0.07737	0.01254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1262	0.06732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01502	0.0	0.07488	0.0	0.0	0.0	0.0	0.0	0.0	0.03039	0.0	0.0	0.0	0.04766	0.0	0.0	0.0	0.01587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1217	0.05532	0.03561	0.0862	0.0	0.05562	0.0	0.0	0.0	0.03133	0.0	0.0	0.00888	0.0	0.13604	0.0	0.00445	0.0	0.0	0.11782	0.0	0.06681	0.00092	0.03113	0.0	0.0	0.0	0.06719	0.2415	0.0	0.0	0.0	0.01965	0.0	0.04318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.05252	0.30931	0.00124	0.0	0.05676	0.03422	0.0	0.0	0.0	0.0	0.00532	0.00348	0.0	0.00317	0.0	0.09227	0.0	0.0	0.0	0.0	0.25276	0.0	0.0	0.82006	0.0	1.28193	0.0	0.0	0.0	0.0	0.0	0.0	0.07469	0.0022	0.0	0.0	0.0	0.0	0.22295	0.0	0.0	0.01045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0396	0.07055	0.01625	0.0	0.0	0.0	0.0	0.0	0.00582	0.0	0.0	0.00363	0.0	0.05272	0.0	0.0	0.0	0.25483	0.01261	0.0	0.00071	0.0	0.03047	0.0	0.04567	0.0	0.00932	0.03014	0.0	0.0	0.0	0.00712	0.0	0.04453	0.0	0.00188	0.00288	0.09479	0.03861	0.40798	0.09433	0.00914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03196	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038	0.03793	0.35649	0.09903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00997	0.0	0.0706	0.0	0.23793	0.0	0.0	0.0028	0.0	0.0146	0.0	0.4165	0.05717	0.0	0.0	0.05001	0.0383	0.0	0.0	0.0	0.0	0.0	0.03506	0.0	0.01052	0.0	0.0	0.0	0.0	0.0	0.06166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09481	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1538	0.03398	0.0	0.0	0.0	0.0	0.0809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	0.02267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.02163	0.08966	0.01096	0.0	0.02025	0.03263	0.0	0.0	0.01613	0.0	0.0	0.03822	0.0	0.00899	0.0	0.0	0.0	0.0	0.0	0.0486	0.01559	0.00254	0.00436	0.0	0.0	0.13422	0.01474	0.0	0.0	0.00349	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.03661	0.0	0.0	0.0	0.0289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00455	0.0	0.0	0.0
