ASV_ID	SRR11733560	SRR11733574	SRR11733576	SRR11733578	SRR11733580	SRR11733584	SRR11733587	SRR11733590	SRR11733593	SRR11733594	SRR11733597	SRR11733600	SRR11733603	SRR11733607	SRR11733610	SRR11733613	SRR11733618	SRR11733621	SRR11733624	SRR11733628	SRR11733631	SRR11733634	SRR11733638	SRR11733641	SRR11733644	SRR11733647	SRR11733648	SRR11733651	SRR11733681	SRR11733684	SRR11733687	SRR11733690	SRR11733691	SRR11733694	SRR11733697	SRR11733700	SRR11733704	SRR11733707	SRR11733710	SRR11733715	SRR11733718	SRR11733721	SRR11733725	SRR11733728	SRR11733731	SRR11733748	SRR11733749	SRR11733778	SRR11733781	SRR11733784	SRR11733787	SRR11733788	SRR11733791	SRR11733794	SRR11733797	SRR11733801	SRR11733804	SRR11733807	SRR11733809	SRR11733812	SRR11733815	SRR11733818	SRR11733819	SRR11733821	SRR11733854	SRR11733890	SRR11733920	SRR11733927
ASV_12	277	304	0	17	582	0	20	496	251	388	397	579	167	585	527	1663	0	578	224	146	505	224	79	94	231	67	0	488	180	232	0	678	21	17	73	105	194	435	125	350	321	0	49	1557	31	0	226	66	11	207	0	0	0	16	116	229	0	0	111	105	525	756	0	0	0	1129	0	0
ASV_13	707	29	27	735	94	95	254	75	171	1180	113	0	0	921	622	700	807	0	87	226	294	74	153	45	119	0	337	103	71	274	404	260	0	358	40	98	40	50	280	108	0	0	2373	0	219	487	0	340	96	0	0	0	0	604	312	62	72	1334	149	0	31	0	0	321	120	0	0	0
ASV_14	1349	305	0	416	619	451	132	304	853	0	186	0	243	142	150	1370	129	0	0	216	651	266	309	0	432	0	227	755	148	238	0	1266	0	287	40	0	216	473	0	571	468	0	133	0	135	0	0	240	0	0	0	0	0	674	570	237	97	180	0	0	427	0	0	0	264	0	0	0
ASV_15	0	281	81	157	270	477	150	111	326	466	133	149	208	747	112	268	445	1041	0	365	476	179	413	62	70	260	0	738	19	47	304	185	0	63	26	403	38	394	86	151	209	326	702	803	560	86	0	323	28	0	0	330	0	0	296	221	458	926	0	0	50	0	0	328	338	0	0	0
ASV_16	415	417	131	347	171	286	466	295	831	616	34	236	148	372	382	118	144	181	158	127	0	129	106	138	95	119	450	413	79	170	314	129	0	233	176	105	169	311	0	138	210	205	143	369	503	165	118	0	144	274	301	223	331	103	276	62	160	97	332	342	0	0	0	119	204	0	0	1254
ASV_17	0	640	0	461	784	0	166	414	524	483	206	0	0	0	567	298	0	0	0	454	114	0	0	0	126	0	0	0	0	155	0	540	0	0	484	259	247	388	315	0	0	125	586	0	307	207	0	123	686	0	0	0	0	426	680	478	0	0	826	0	257	0	0	153	0	0	0	114
ASV_18	518	95	37	289	332	450	113	0	329	165	244	739	0	259	274	231	116	171	179	113	23	98	543	0	35	359	494	127	174	243	214	142	0	469	112	124	145	233	66	368	150	24	213	384	193	65	0	174	61	0	40	469	49	444	397	193	80	104	40	0	17	0	0	234	223	0	0	0
ASV_19	161	259	22	45	651	508	345	34	51	257	54	0	26	93	67	75	35	102	0	128	789	573	76	0	0	78	129	109	18	18	275	19	9	505	81	16	11	93	0	90	22	0	337	27	0	0	0	174	7	161	1059	1185	170	54	298	26	21	195	337	0	16	0	88	29	385	549	0	949
ASV_20	218	249	460	151	173	275	351	86	257	0	356	105	0	137	237	146	0	542	122	120	136	166	0	0	85	0	589	0	43	194	42	120	0	297	198	210	72	266	55	146	0	144	214	0	296	238	0	125	295	349	211	0	0	85	186	176	56	284	65	449	76	0	0	143	232	0	0	0
ASV_21	117	57	29	0	0	0	0	91	276	0	0	0	186	0	1530	0	621	0	0	711	0	0	106	0	388	0	0	797	0	554	0	69	0	94	399	151	185	26	0	290	0	248	0	35	0	210	0	69	798	0	341	288	0	0	512	8	0	0	0	362	0	0	0	0	149	0	0	0
