ASV_ID	SRR16821602	SRR16821603	SRR16821604	SRR16821605	SRR16821606	SRR16821607	SRR16821608	SRR16821609	SRR16821610	SRR16821611	SRR16821612	SRR16821613	SRR16821614	SRR16821615	SRR16821616	SRR16821617	SRR16821618	SRR16821619	SRR16821620	SRR16821621	SRR16821622	SRR16821623	SRR16821624	SRR16821625	SRR16821626	SRR16821627	SRR16821628	SRR16821629	SRR16821630	SRR16821631	SRR16821632	SRR16821633	SRR16821634	SRR16821635	SRR16821636	SRR16821637	SRR16821638	SRR16821639	SRR16821640	SRR16821641	SRR16821642	SRR16821643	SRR16821644	SRR16821645	SRR16821646	SRR16821647	SRR16821648	SRR16821649	SRR16821650	SRR16821651	SRR16821652	SRR16821653	SRR16821654	SRR16821655	SRR16821656	SRR16821657	SRR16821658	SRR16821659	SRR16821660	SRR16821661	SRR16821662	SRR16821663	SRR16821664	SRR16821665	SRR16821666	SRR16821667	SRR16821668	SRR16821669	SRR16821670	SRR16821671	SRR16821672	SRR16821673	SRR16821674	SRR16821675	SRR16821676	SRR16821677	SRR16821678	SRR16821679	SRR16821680	SRR16821681	SRR16821682	SRR16821683	SRR16821684	SRR16821685	SRR16821686	SRR16821687	SRR16821688	SRR16821689	SRR16821690	SRR16821691	SRR16821692	SRR16821693	SRR16821694	SRR16821695	SRR16821696	SRR16821697	SRR16821698	SRR16821699	SRR16821700	SRR16821701	SRR16821702	SRR16821703	SRR16821704	SRR16821705	SRR16821706	SRR16821707	SRR16821708	SRR16821709	SRR16821710	SRR16821711	SRR16821712	SRR16821713	SRR16821714	SRR16821715	SRR16821716	SRR16821717	SRR16821718	SRR16821719	SRR16821720	SRR16821721	SRR16821722	SRR16821723	SRR16821724	SRR16821725	SRR16821726	SRR16821727	SRR16821728	SRR16821729	SRR16821730	SRR16821731	SRR16821732	SRR16821733	SRR16821734	SRR16821735	SRR16821736	SRR16821737
ASV_19	25	107	67	171	240	74	0	36	34	20	20	26	297	59	135	117	17	0	25	18	21	93	0	16	36	21	108	106	0	0	0	0	0	0	0	24	11	16	4	26	45	0	26	55	38	83	161	152	68	118	89	28	0	17	22	14	41	52	0	42	30	29	0	0	0	0	19	13	12	10	14	0	0	0	0	0	0	0	0	23	20	0	21	19	68	14	39	24	160	45	42	81	45	50	72	23	0	0	81	17	20	46	0	15	19	10	16	0	19	42	23	0	14	21	16	15	27	47	54	18	117	24	35	0	0	0	0	0	0	0	0	102	0	0	107	31
ASV_20	23	45	63	71	21	71	0	31	19	84	17	30	0	0	0	0	0	0	20	121	0	67	0	38	24	28	0	17	0	38	54	38	51	15	0	57	39	47	22	48	184	0	126	118	57	116	15	64	62	40	0	52	0	78	72	52	79	48	59	70	213	50	32	0	19	11	90	97	58	92	36	0	0	0	0	0	0	0	0	17	19	8	0	24	22	27	0	17	25	0	95	50	65	73	130	49	66	43	26	64	45	24	14	35	45	120	0	15	0	21	25	24	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	25	49	107	33	0	54	45	22
ASV_21	16	123	64	201	221	74	0	25	21	27	22	37	207	49	128	89	32	0	9	18	17	74	0	19	36	20	116	137	0	0	0	0	0	0	0	38	26	22	12	34	39	0	25	74	47	82	154	116	74	116	70	30	0	18	16	43	36	46	15	40	28	17	0	0	0	0	19	7	32	19	14	0	0	0	0	0	0	0	0	8	27	0	16	15	55	16	21	31	170	71	35	64	25	49	64	14	35	0	67	10	14	0	59	11	24	27	15	62	0	40	22	71	20	18	10	15	0	58	34	26	100	29	40	0	0	0	0	0	0	0	0	90	0	0	94	16
ASV_22	0	102	64	48	44	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	84	83	84	96	0	8	0	0	0	0	0	0	0	24	23	28	22	53	0	0	0	0	0	0	0	0	0	0	0	193	0	113	180	231	241	0	117	62	150	163	0	0	0	0	221	227	114	184	49	0	0	0	0	0	0	0	0	33	61	69	47	45	0	0	0	0	0	0	50	120	56	60	121	0	12	16	0	0	0	0	0	0	0	0	65	40	42	0	106	33	0	0	0	0	17	76	101	45	0	75	90	23	46	23	65	55	0	0	0	0	0	0	0	15
ASV_23	32	54	84	73	47	41	0	42	21	29	27	45	0	0	0	0	0	0	36	43	50	40	100	36	18	24	31	25	0	32	23	24	50	21	259	0	8	2	17	0	0	228	0	0	0	0	15	10	12	18	12	0	283	0	0	0	0	22	22	11	17	27	0	574	0	0	12	0	0	21	5	30	20	16	471	0	0	25	37	0	0	1	0	0	28	25	30	46	233	52	0	0	0	0	0	50	52	26	65	9	75	109	18	61	30	50	0	0	0	19	0	0	22	39	55	11	18	0	0	0	28	0	0	0	0	0	0	0	51	48	62	31	51	45	27	31
ASV_24	0	97	68	41	37	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	84	60	102	69	103	0	0	0	0	0	0	0	0	0	25	49	25	9	55	0	0	0	0	0	0	0	0	0	0	0	152	0	136	157	242	260	0	89	80	173	186	0	0	0	0	219	203	112	153	68	0	0	0	0	0	0	0	0	24	75	46	61	24	0	0	0	0	0	0	53	118	54	53	144	0	15	25	0	0	0	0	0	0	0	0	69	46	39	0	100	33	0	0	0	0	27	71	99	51	0	84	69	26	39	31	62	60	0	0	0	0	0	0	0	13
ASV_25	0	345	325	290	186	183	0	24	24	25	22	13	21	30	43	36	0	20	0	24	0	2	37	34	17	7	64	77	32	7	0	15	9	0	79	82	15	20	8	31	52	46	53	18	62	21	0	0	0	0	0	0	40	15	14	21	8	0	0	18	14	0	0	156	11	20	29	37	23	25	21	0	0	0	66	0	0	0	0	40	49	42	29	31	0	0	0	49	0	0	12	14	18	20	30	115	128	96	68	110	82	27	39	77	140	111	13	53	12	40	13	33	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	85	46	73	0	29	10	0
ASV_26	15	9	7	14	5	3	280	22	22	35	21	0	73	124	68	50	0	335	17	0	0	34	51	13	26	25	20	20	232	29	34	48	59	39	0	61	32	38	22	62	0	0	0	0	0	48	0	0	0	0	0	128	0	76	124	72	89	0	0	0	0	0	37	0	180	46	0	0	0	0	0	0	0	0	0	291	157	0	0	0	0	0	0	0	39	33	45	22	47	15	58	108	71	50	66	48	54	77	74	27	54	0	0	0	0	0	44	84	82	37	84	20	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	27	0	0	48	76
ASV_27	0	73	127	136	97	103	0	10	10	19	9	5	151	222	153	132	73	0	0	10	0	79	0	22	38	61	0	0	0	17	12	17	20	19	0	20	18	23	13	20	133	0	126	70	211	148	0	0	0	0	0	0	0	15	13	12	13	0	0	0	0	0	0	0	32	20	22	21	11	18	14	0	0	0	0	0	0	0	0	72	60	68	123	129	36	33	15	60	51	48	22	27	49	24	41	40	37	52	67	56	52	74	68	51	147	61	13	17	45	69	21	46	0	0	0	0	0	0	0	0	58	0	0	0	0	17	0	0	0	0	0	89	0	0	50	34
ASV_28	17	102	71	157	183	76	0	31	34	15	13	13	259	37	132	93	14	0	29	19	17	67	44	13	23	23	112	130	0	0	0	0	0	0	0	24	8	14	11	25	41	0	17	74	45	80	188	135	79	110	80	20	0	17	12	12	37	49	22	41	33	7	0	0	0	0	22	11	16	16	16	0	0	0	0	0	0	0	0	0	16	20	12	13	50	15	12	23	157	56	34	65	43	67	55	0	39	37	80	14	12	0	27	8	20	11	20	0	18	54	22	0	11	17	10	21	16	59	36	25	126	19	30	0	0	0	0	0	0	0	0	110	0	0	105	9
