ASV_ID	SRR21922134	SRR21922135	SRR21922136	SRR21922137	SRR21922138	SRR21922139	SRR21922140	SRR21922141	SRR21922142	SRR21922143	SRR21922144	SRR21922145	SRR21922146	SRR21922147	SRR21922148	SRR21922149	SRR21922150	SRR21922151	SRR21922152	SRR21922153	SRR21922154	SRR21922155	SRR21922156	SRR21922157	SRR21922158	SRR21922159	SRR21922160	SRR21922161	SRR21922162	SRR21922163	SRR21922164	SRR21922165	SRR21922166	SRR21922167	SRR21922168	SRR21922169	SRR21922170	SRR21922171	SRR21922172	SRR21922173	SRR21922174	SRR21922175	SRR21922176	SRR21922177	SRR21922178	SRR21922179	SRR21922180	SRR21922181	SRR21922182	SRR21922183	SRR21922184	SRR21922185	SRR21922186	SRR21922187	SRR21922188	SRR21922189	SRR21922190	SRR21922191	SRR21922192	SRR21922193
ASV_48	6	50	75	59	0	0	0	164	198	0	0	0	0	0	269	0	0	18	0	33	0	0	0	83	0	364	0	0	0	0	0	0	0	234	6	0	0	0	0	361	53	183	0	19	0	0	0	155	179	8	42	0	0	275	0	0	0	0	261	0
ASV_49	0	38	34	0	0	29	18	36	36	155	36	54	289	11	0	0	315	26	102	12	49	23	0	0	22	86	86	320	47	54	12	0	187	14	15	24	0	263	0	52	98	0	16	0	0	35	238	0	0	0	141	37	27	0	0	0	0	23	0	21
ASV_50	0	17	36	20	146	29	16	0	0	0	14	34	38	0	0	107	139	84	14	0	59	50	0	15	0	141	94	86	17	265	13	0	15	0	0	417	0	14	65	0	0	246	0	17	295	69	0	0	26	8	26	241	0	0	13	0	6	42	81	64
ASV_51	0	0	34	0	242	31	0	26	105	82	107	26	0	22	0	0	80	160	16	32	0	75	0	29	37	117	65	37	84	17	0	59	0	22	87	0	0	89	77	31	57	28	28	46	0	112	50	170	106	0	34	57	361	32	0	99	62	0	0	20
ASV_52	0	0	22	24	183	43	0	0	0	0	7	38	39	0	0	91	119	88	20	0	47	70	0	21	0	153	61	74	12	234	22	0	9	0	0	451	0	18	62	0	0	236	0	24	281	93	0	0	12	9	26	248	0	0	11	0	13	45	84	58
ASV_53	0	12	43	19	174	36	0	0	0	0	17	35	35	0	0	98	107	73	16	0	53	51	0	20	0	142	89	87	22	221	10	0	6	0	0	471	0	11	50	0	0	228	0	14	261	87	0	0	18	13	28	253	0	0	14	0	21	50	91	65
ASV_54	23	0	61	46	168	49	49	64	58	23	15	41	28	58	64	0	73	44	50	59	69	31	28	22	35	36	98	42	40	51	56	80	0	46	19	75	0	36	153	79	48	24	28	91	0	80	0	159	32	41	46	124	30	39	56	50	46	126	0	51
ASV_55	283	147	0	0	0	0	0	0	0	358	0	175	0	0	0	0	0	124	0	40	0	0	0	0	79	0	0	319	203	0	0	703	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0
ASV_56	0	0	37	16	146	41	13	0	0	0	16	35	27	0	0	90	132	74	32	0	47	68	0	15	0	152	72	73	20	253	16	0	12	0	0	430	0	10	48	0	0	203	0	12	244	69	0	0	22	7	17	334	0	0	10	0	8	58	71	58
ASV_57	26	0	68	0	0	0	0	20	40	0	0	296	73	18	0	360	0	116	30	0	60	169	0	0	0	73	90	0	0	0	0	599	53	0	0	9	0	0	0	98	0	0	62	0	0	0	75	0	0	0	0	37	0	0	0	111	0	0	0	499
ASV_58	0	0	29	22	151	36	4	0	0	12	5	34	29	0	0	97	130	64	14	0	44	69	0	11	0	150	75	65	26	248	9	0	13	0	0	442	0	14	74	0	0	187	0	16	292	84	0	0	25	6	25	243	0	0	26	0	22	49	62	71
ASV_59	40	44	17	22	129	26	17	63	82	42	14	37	55	25	0	319	243	58	32	81	109	17	0	23	28	31	66	55	47	35	35	47	21	56	17	55	0	43	162	42	0	24	19	26	0	105	29	34	54	0	49	119	0	23	50	0	53	75	0	61
