Dataset_ID	Num_SGBs
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	162.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	2.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	186.0
SG_80_Mouzan_Duodenal	2.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	2.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Stool	300.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
SG_80_Mouzan_Duodenal	0.0
