Dataset_ID	Percent_Reads_Remaining
SG_132_Francavilla	99.11
SG_132_Francavilla	98.35
SG_132_Francavilla	99.99
SG_132_Francavilla	99.57
SG_132_Francavilla	100.0
SG_132_Francavilla	99.96
SG_132_Francavilla	99.98
SG_132_Francavilla	99.95
SG_132_Francavilla	99.94
SG_132_Francavilla	99.99
SG_132_Francavilla	99.84
SG_132_Francavilla	99.95
SG_132_Francavilla	99.83
SG_132_Francavilla	99.98
SG_132_Francavilla	99.61
SG_132_Francavilla	99.97
SG_132_Francavilla	99.99
SG_132_Francavilla	99.98
SG_132_Francavilla	99.67
SG_132_Francavilla	94.26
SG_132_Francavilla	99.93
SG_132_Francavilla	99.57
SG_132_Francavilla	99.7
SG_132_Francavilla	99.72
SG_132_Francavilla	99.99
SG_132_Francavilla	99.97
SG_132_Francavilla	98.33
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Stool	99.94
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Duodenal	8.61
SG_80_Mouzan_Stool	99.86
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	99.9
SG_80_Mouzan_Duodenal	8.129999999999995
SG_80_Mouzan_Stool	99.59
SG_80_Mouzan_Stool	99.97
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Duodenal	7.390000000000001
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	99.4
SG_80_Mouzan_Stool	99.6
SG_80_Mouzan_Duodenal	7.659999999999997
SG_80_Mouzan_Stool	99.97
SG_80_Mouzan_Stool	99.8
SG_80_Mouzan_Stool	99.89
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	99.49
SG_80_Mouzan_Stool	99.67
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	99.95
SG_80_Mouzan_Stool	99.63
SG_80_Mouzan_Stool	99.92
SG_80_Mouzan_Stool	99.96
SG_80_Mouzan_Duodenal	9.450000000000003
SG_80_Mouzan_Stool	99.61
SG_80_Mouzan_Duodenal	3.3499999999999943
SG_80_Mouzan_Stool	99.57
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Duodenal	8.540000000000006
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	100.0
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Stool	99.93
SG_80_Mouzan_Stool	93.15
SG_80_Mouzan_Stool	99.51
SG_80_Mouzan_Stool	99.99
SG_80_Mouzan_Stool	99.61
SG_80_Mouzan_Duodenal	8.450000000000003
SG_80_Mouzan_Duodenal	10.920000000000002
SG_80_Mouzan_Stool	99.97
SG_80_Mouzan_Duodenal	10.900000000000006
SG_80_Mouzan_Duodenal	10.180000000000007
SG_80_Mouzan_Duodenal	5.519999999999996
SG_80_Mouzan_Duodenal	9.790000000000006
SG_80_Mouzan_Duodenal	6.599999999999994
SG_80_Mouzan_Duodenal	19.310000000000002
SG_80_Mouzan_Duodenal	9.079999999999998
SG_80_Mouzan_Duodenal	6.849999999999994
SG_80_Mouzan_Duodenal	7.549999999999997
SG_80_Mouzan_Duodenal	10.879999999999995
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Duodenal	7.959999999999994
SG_80_Mouzan_Duodenal	8.819999999999993
SG_80_Mouzan_Duodenal	7.560000000000002
SG_80_Mouzan_Duodenal	6.6200000000000045
SG_80_Mouzan_Duodenal	6.900000000000006
SG_80_Mouzan_Duodenal	6.659999999999997
SG_80_Mouzan_Duodenal	11.340000000000003
SG_80_Mouzan_Duodenal	5.329999999999998
SG_80_Mouzan_Duodenal	5.25
SG_80_Mouzan_Duodenal	11.11
SG_80_Mouzan_Stool	99.95
SG_80_Mouzan_Duodenal	9.230000000000004
SG_80_Mouzan_Duodenal	9.290000000000006
SG_80_Mouzan_Duodenal	11.760000000000005
SG_80_Mouzan_Duodenal	5.549999999999997
SG_80_Mouzan_Duodenal	9.060000000000002
SG_80_Mouzan_Duodenal	8.870000000000005
SG_80_Mouzan_Duodenal	6.989999999999995
SG_80_Mouzan_Duodenal	8.75
SG_80_Mouzan_Stool	99.98
SG_80_Mouzan_Duodenal	12.260000000000005
SG_80_Mouzan_Duodenal	7.359999999999999
SG_80_Mouzan_Duodenal	8.099999999999994
