#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR12025098	ERR12025082	ERR12025102	ERR12025087	ERR12025096	ERR12025073	ERR12025108	ERR12025099	ERR12025089	ERR12025097	ERR12025080	ERR12025103	ERR12025104	ERR12025078	ERR12025075	ERR12025094	ERR12025095	ERR12025105	ERR12025083	ERR12025076	ERR12025079	ERR12025093	ERR12025092	ERR12025107	ERR12025074	ERR12025100	ERR12025101	ERR12025090	ERR12025110	ERR12025111	ERR12025091	ERR12025088	ERR12025084	ERR12025085	ERR12025081	ERR12025077	ERR12025109	ERR12025106	ERR12025086
k__Bacteria|p__Synergistota	0.0656539947290957	0.0218257863284102	0.0	0.0	0.0	0.0545723627302107	0.0	0.0	0.0265427494596309	0.0	0.0180052103328017	0.0	0.0	0.0	0.0	0.0	0.0	0.2310594909685861	0.0253464397017684	0.0	0.0	0.0001589888061207	0.0	0.0	0.0039671317053256	0.0	0.0679987308662109	0.0	0.0086207185598295	0.0342662164037983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Methanobacteriota	0.0567192540276398	0.0	0.0689999548124859	0.0	0.0	0.0019163102636624	0.0	0.0	0.0251540780436665	0.0	0.0067609206130142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0607914386650463	0.0	0.0	0.1383765313436528	0.0	0.0	0.0	0.0123641739071919	0.0	0.0	0.0	0.0	0.0	0.0	0.0366362040817624	0.0	0.0	0.0051512598607372	0.0	0.0
k__Bacteria|p__Verrucomicrobiota	0.0329109538795467	0.8086087747205624	0.0	0.0	0.0101683704570053	0.2223769501531869	0.0	0.0	0.0535511611904834	0.7786562929090028	1.3941125904893883	0.0	0.0	0.7299838959930082	0.5847469042049632	0.7998335232186012	13.632386854905135	0.0	0.0	0.0	0.0	0.3490334257037238	0.0663608935773221	0.3058726816055442	0.0	0.0	0.0	0.0	0.0420994211866841	0.0	0.2092623129379966	0.0512108575804367	0.0127546035622513	0.0	0.0	0.0004430452909166	0.0177336890390937	0.2157358902126371	0.3266983042159375
k__Bacteria|p__Bacteroidota|c__Bacteroidia	41.5312376634564	64.9811884337297	50.478574417707286	24.476457600195733	52.563231187610725	43.27819643330633	45.37469062342105	47.71375194845206	25.03141761218813	43.80531801431052	38.17776199246176	53.00486168018614	62.92363488894584	50.70356149358903	35.37036623553309	45.64639678098447	35.40912485729423	65.17898002364034	38.82130932396974	49.66322367242079	69.53025720944254	63.177788192923884	7.925316132397159	40.56711957006436	15.15008849535591	40.83716898212683	34.99175307565639	69.19854595462212	43.92373575365182	66.56685189622337	73.63808783187982	39.56839397360599	55.6389362237812	58.02737108948528	47.829017292566455	50.78483094162263	65.13746153351038	14.007884235208252	48.11018771268959
k__Bacteria|p__Firmicutes|c__Clostridia	23.206004947019323	13.428419634974494	13.419810891646728	45.72446846931757	17.92273065840053	32.59657918417928	20.38315634965932	33.66694614170089	41.43967633970166	28.343205860787883	31.98081334612677	25.20199998760942	18.23775395476234	14.58133931131194	44.22020389287166	25.624764523126608	11.485633713052083	19.730558174061564	25.927813315608564	24.178905152051176	15.52055468185495	15.48222394749992	38.13543010938712	15.342086297001911	66.7517422742632	31.92725176519492	43.9577482988493	11.489585427344396	38.939245755675465	15.561857694674636	12.082783637642724	37.710989982281966	32.46744021172425	28.2871451901012	25.508693318345674	30.454194888789768	18.844653621762845	59.72274634376636	25.88468917409916
k__Bacteria|p__Firmicutes|c__CFGB94588	5.2937587466255085	0.0	0.0	0.0	0.0	1.1281686680310468	0.0	0.0	0.0	11.127403845602078	0.0	0.1244150524954732	0.0	0.0	0.3474839803667935	0.0	0.7728019167097713	0.0	2.0304075274195283	0.0	0.0	0.0	0.0	0.0	0.0878765802168071	0.0	1.377071489377704	0.0	0.0	2.469583262730043	0.0	0.0	0.0	1.6937894175863784	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	3.03003481394774	0.0683624769064382	0.0	0.7975570516698453	6.675508539716883	0.0	5.450905379895638	0.0	0.0806926192845421	0.0	0.0	0.0	0.1291763587772456	0.0	0.0	0.7046441908485662	0.0	0.0	5.07520414267666	0.0	0.0	0.0	0.0	0.0	0.0	0.0014198659855745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01196789008955	0.0	0.0	0.0	0.0	0.2620082426205936
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2102	1.615800575084061	0.0	0.0	0.0	0.0	0.0	0.1412124116584216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2019347691516159
k__Bacteria|p__Firmicutes|c__CFGB2834	1.2317923130072448	0.0	0.0073785883199852	1.1160679704620662	0.0565660048849494	0.3524500492812916	1.168441053970497	0.0004758973492959	0.0046483073145155	0.1751618506167744	0.0726933466972231	0.0192968523474935	0.0	0.1056296454048538	0.0573295603054433	0.0	0.0	0.0025160230052452	0.539036607820525	0.0	0.0026858315966309	0.0	0.0	0.9836163596509916	0.0896110471019262	0.0	0.0189815000653131	0.0	0.0064418556271253	0.0070738451527926	0.0022125468893488	0.0	0.0305471345448171	0.0043952028786741	0.0092351315196317	0.0	0.0	0.2894598086002627	0.092129365135562
k__Bacteria|p__Firmicutes|c__CFGB73062	0.8279968259743853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062448636729896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15975365920803	0.0	0.0	0.0	0.0	0.0	0.0013654313776469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
